,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund
542,006341.OF,中金MSCI质量A,"耿帅军,刘重晋",朱宝臣(20181122-20201022) 刘重晋(20201022-至今) 耿帅军(20201022-至今),是,股票型基金,被动指数型股票基金,304047687.97,4.6821917808219,0.25,94.913844097106
543,006342.OF,中金MSCI质量C,"刘重晋,耿帅军",朱宝臣(20181122-20201022) 刘重晋(20201022-至今) 耿帅军(20201022-至今),是,股票型基金,被动指数型股票基金,98016273.6,4.6821917808219,0.03,94.913844097106
544,006346.OF,安信量化优选股票A,施荣盛,龙川(20180903-20200121) 杨扬(20181127-20200121) 施荣盛(20200113-至今),否,股票型基金,普通股票型基金,34230099.7,4.9013698630137,,90.648425858434
545,006347.OF,安信量化优选股票C,施荣盛,龙川(20180903-20200121) 杨扬(20181127-20200121) 施荣盛(20200113-至今),否,股票型基金,普通股票型基金,18867635.48,4.9013698630137,,90.648425858434
546,006355.OF,华宝香港大盘C,"杨洋,周晶",周晶(20180829-至今) 俞翼之(20180829-20200820) 杨洋(20210511-至今),是,股票型基金,被动指数型股票基金,59182804.2,4.9150684931507,26.71,94.594536279917
547,006363.OF,建信深证基本面60ETF联接C,薛玲,薛玲(20180904-至今),是,股票型基金,被动指数型股票基金,14932344.48,4.8986301369863,,1.7742909203985
548,006381.OF,华夏恒生ETF联接C,徐猛,徐猛(20180919-至今),是,QDII基金,QDII股票型基金,945463174.32,4.8575342465753,49.94,
549,006382.OF,华夏中证500ETF联接C,荣膺,荣膺(20180919-至今),是,股票型基金,被动指数型股票基金,79826485.99,4.8575342465753,8.46,0.22020594274932
550,006395.OF,华夏上证50AH优选指数(LOF)C,华龙,荣膺(20180919-20220822) 华龙(20220822-至今),是,股票型基金,被动指数型股票基金,35422488.47,4.8575342465753,0.0,91.714045932577
551,006438.OF,博时央调ETF联接A,赵云阳,赵云阳(20181114-至今),是,股票型基金,被动指数型股票基金,311823727.98,4.7041095890411,94.96,
552,006439.OF,博时央调ETF联接C,赵云阳,赵云阳(20181114-至今),是,股票型基金,被动指数型股票基金,46829531.78,4.7041095890411,2.0,
553,006440.OF,中信建投中证500增强A,王鹏,王鹏(20200509-至今),是,股票型基金,增强指数型股票基金,204969754.08,3.2191780821918,8.3576,93.495809890011
554,006441.OF,中信建投中证500增强C,王鹏,王鹏(20200509-至今),是,股票型基金,增强指数型股票基金,265632584.08,3.2191780821918,11.7332,93.495809890011
555,006479.OF,广发纳指100ETF联接人民币(QDII)C,刘杰,刘杰(20181025-至今) 李耀柱(20181025-20190412),是,QDII基金,QDII股票型基金,2785042435.13,4.758904109589,5.44,
556,006480.OF,广发纳指100ETF联接美元(QDII)C,刘杰,刘杰(20181025-至今) 李耀柱(20181025-20190412),是,QDII基金,QDII股票型基金,2785042435.13,4.758904109589,5.44,
557,006486.OF,广发中证1000ETF联接A,陆志明,罗国庆(20181102-20210617) 陆志明(20210617-至今),是,股票型基金,被动指数型股票基金,132632641.55,4.7369863013699,22.99,
558,006487.OF,广发中证1000ETF联接C,陆志明,罗国庆(20181102-20210617) 陆志明(20210617-至今),是,股票型基金,被动指数型股票基金,165427798.47,4.7369863013699,27.96,
559,006502.OF,财通集成电路产业股票A,金梓才,金梓才(20181129-至今) 张胤(20210927-20221130),否,股票型基金,普通股票型基金,58800728.21,4.6630136986301,14.6765,80.867825696567
560,006503.OF,财通集成电路产业股票C,金梓才,金梓才(20181129-至今) 张胤(20210927-20221130),否,股票型基金,普通股票型基金,71571036.28,4.6630136986301,38.4373,80.867825696567
561,006524.OF,前海开源MSCI中国A股指数A,梁溥森,陶曙斌(20181127-20201218) 梁溥森(20201218-至今),是,股票型基金,被动指数型股票基金,13559918.57,4.6684931506849,20.35,94.250615218031
562,006525.OF,前海开源MSCI中国A股指数C,梁溥森,陶曙斌(20181127-20201218) 梁溥森(20201218-至今),是,股票型基金,被动指数型股票基金,38622327.18,4.6684931506849,51.01,94.250615218031
563,006555.OF,浦银安盛全球智能科技(QDII)A,"IKEDAKAE,俞瑾",IKEDAKAE(20190129-至今) 俞瑾(20220811-至今),否,QDII基金,QDII股票型基金,32910331.9,4.4958904109589,1.07,42.55070180625
564,006569.OF,国联安中证医药100C,黄欣,黄欣(20181026-至今),是,股票型基金,被动指数型股票基金,89283316.75,4.7561643835616,65.11,92.578037818131
565,006593.OF,博道中证500增强A,杨梦,杨梦(20190103-至今),是,股票型基金,增强指数型股票基金,1489512265.96,4.5671232876712,35.67,92.679474257876
566,006594.OF,博道中证500增强C,杨梦,杨梦(20190103-至今),是,股票型基金,增强指数型股票基金,1028862913.23,4.5671232876712,24.65,92.679474257876
567,006600.OF,人保沪深300指数,石晓冉,刘笑明(20190228-20200402) 彬彬(20200402-20210525) 石晓冉(20200803-至今),是,股票型基金,被动指数型股票基金,895970212.87,4.413698630137,18.41,93.570611418098
568,006603.OF,嘉实互融精选股票,郝淼,蒋一茜(20190228-20210424) 冯正彦(20200310-20210424) 梁铭超(20210424-20220922) 郝淼(20220922-至今),否,股票型基金,普通股票型基金,385520291.72,4.413698630137,25.87,91.840920238883
569,006604.OF,嘉实消费精选股票A,吴越,吴越(20190403-20200722) 常蓁(20200722-20210805) 吴越(20201209-至今),否,股票型基金,普通股票型基金,1505829467.94,4.3205479452055,79.56,88.594784481442
570,006605.OF,嘉实消费精选股票C,吴越,吴越(20190403-20200722) 常蓁(20200722-20210805) 吴越(20201209-至今),否,股票型基金,普通股票型基金,428004387.2,4.3205479452055,86.35,88.594784481442
571,006611.OF,人保中证500,"周剑,石晓冉",刘笑明(20181207-20200402) 彬彬(20200402-20210525) 石晓冉(20200803-至今) 周剑(20230713-至今),是,股票型基金,被动指数型股票基金,39306239.59,4.641095890411,,93.297132178041
572,006614.OF,嘉实港股通新经济指数(LOF)C,"刘珈吟,王紫菡",陈正宪(20190114-20210924) 刘珈吟(20190114-至今) 王紫菡(20210924-至今),是,股票型基金,被动指数型股票基金,1495300757.26,4.5369863013699,39.98,94.619946409702
573,006656.OF,方正富邦中证500ETF联接A,于润泽,吴昊(20190326-20210406) 张超梁(20191213-20220328) 于润泽(20220318-至今),是,股票型基金,被动指数型股票基金,3276318.85,4.3424657534247,0.01,
574,006657.OF,方正富邦中证500ETF联接C,于润泽,吴昊(20190326-20210406) 张超梁(20191213-20220328) 于润泽(20220318-至今),是,股票型基金,被动指数型股票基金,1604207.67,4.3424657534247,,
575,006658.OF,财通中证香港红利等权投资指数A,顾弘原,苏俊杰(20190426-20190726) 吴迪(20190604-20210526) 顾弘原(20210526-至今),是,股票型基金,被动指数型股票基金,14268297.01,4.2575342465753,58.8428,89.841551339724
576,006659.OF,财通中证香港红利等权投资指数C,顾弘原,苏俊杰(20190426-20190726) 吴迪(20190604-20210526) 顾弘原(20210526-至今),是,股票型基金,被动指数型股票基金,3397741.77,4.2575342465753,,89.841551339724
577,006671.OF,广发消费升级股票,"张东一,刘娜",李耀柱(20190527-20200731) 张东一(20191120-至今) 刘娜(20220414-至今),否,股票型基金,普通股票型基金,259246349.07,4.172602739726,0.01,89.364183905758
578,006675.OF,宝盈品牌消费股票A,杨思亮,肖肖(20190606-20220219) 杨思亮(20211203-至今),否,股票型基金,普通股票型基金,17726058.32,4.1452054794521,25.51,87.694284726479
579,006676.OF,宝盈品牌消费股票C,杨思亮,肖肖(20190606-20220219) 杨思亮(20211203-至今),否,股票型基金,普通股票型基金,12472511.76,4.1452054794521,,87.694284726479
580,006679.OF,广发道琼斯石油指数(QDII-LOF)A美元现汇,姚曦,刘杰(20190128-20210916) 李耀柱(20190128-20190412) 叶帅(20210916-20230222) 姚曦(20221115-至今),是,QDII基金,QDII股票型基金,968742001.09,4.4986301369863,1.22,90.171447506149
581,006680.OF,广发道琼斯石油指数(QDII-LOF)C美元现汇,姚曦,刘杰(20190128-20210916) 李耀柱(20190128-20190412) 叶帅(20210916-20230222) 姚曦(20221115-至今),是,QDII基金,QDII股票型基金,493633528.38,4.4986301369863,0.02,90.171447506149
582,006682.OF,景顺中证500指数增强A,"黎海威,徐喻军",黎海威(20190325-至今) 徐喻军(20190325-至今),是,股票型基金,增强指数型股票基金,1306626806.29,4.3452054794521,59.77,93.721760045105
583,006687.OF,方正富邦深证100ETF联接A,于润泽,吴昊(20190124-20210421) 张超梁(20210419-20220328) 于润泽(20220328-至今),是,股票型基金,被动指数型股票基金,442912759.63,4.5095890410959,0.49,2.6742954874167
584,006688.OF,方正富邦深证100ETF联接C,于润泽,吴昊(20190124-20210421) 张超梁(20210419-20220328) 于润泽(20220328-至今),是,股票型基金,被动指数型股票基金,128952734.73,4.5095890410959,0.55,2.6742954874167
585,006692.OF,金信消费升级股票A,杨超,杨仁眉(20190131-20200930) 程可(20200918-20201105) 周谧(20201015-20220826) 杨超(20220816-至今),否,股票型基金,普通股票型基金,88557095.43,4.4904109589041,12.606,87.561285810417
586,006693.OF,金信消费升级股票C,杨超,杨仁眉(20190131-20200930) 程可(20200918-20201105) 周谧(20201015-20220826) 杨超(20220816-至今),否,股票型基金,普通股票型基金,104638080.13,4.4904109589041,35.3749,87.561285810417
587,006697.OF,华宝银行ETF联接C,胡洁,胡洁(20181127-至今),是,股票型基金,被动指数型股票基金,206692098.98,4.6684931506849,29.91,
588,006704.OF,易方达MSCI中国A股国际通ETF联接发起式A,"宋钊贤,范冰",成曦(20190313-20200423) 范冰(20190313-至今) 宋钊贤(20200905-至今),是,股票型基金,被动指数型股票基金,67085973.59,4.3780821917808,21.35,
589,006705.OF,易方达MSCI中国A股国际通ETF联接发起式C,"宋钊贤,范冰",成曦(20190313-20200423) 范冰(20190313-至今) 宋钊贤(20200905-至今),是,股票型基金,被动指数型股票基金,41367292.03,4.3780821917808,0.07,
590,006712.OF,前海开源MSCI中国A股消费A,黄玥,陶曙斌(20190117-20201218) 黄玥(20201218-至今),是,股票型基金,被动指数型股票基金,51629489.83,4.5287671232877,,92.870684192027
591,006713.OF,前海开源MSCI中国A股消费C,黄玥,陶曙斌(20190117-20201218) 黄玥(20201218-至今),是,股票型基金,被动指数型股票基金,42016464.08,4.5287671232877,12.69,92.870684192027
592,006724.OF,工银深红利ETF联接C,赵栩,赵栩(20190522-至今),是,股票型基金,被动指数型股票基金,209641197.11,4.186301369863,5.47,4.2698138799077
593,006729.OF,万家中证500指数增强发起式A,乔亮,陈旭(20190523-20191022) 乔亮(20190906-至今),是,股票型基金,增强指数型股票基金,1621542185.38,4.1835616438356,74.33,93.558018437455
594,006730.OF,万家中证500指数增强发起式C,乔亮,陈旭(20190523-20191022) 乔亮(20190906-至今),是,股票型基金,增强指数型股票基金,1779863693.73,4.1835616438356,69.49,93.558018437455
595,006733.OF,博时创业板ETF联接C,尹浩,赵云阳(20181210-20191011) 尹浩(20191011-至今),是,股票型基金,被动指数型股票基金,504580724.9,4.6328767123288,0.11,0.050394915140546
596,006743.OF,中融央视财经50ETF联接A,"陈薪羽,赵菲",赵菲(20190320-至今) 陈薪羽(20190801-至今),是,股票型基金,被动指数型股票基金,13755346.77,4.358904109589,,
597,006744.OF,中融央视财经50ETF联接C,"赵菲,陈薪羽",赵菲(20190320-至今) 陈薪羽(20190801-至今),是,股票型基金,被动指数型股票基金,14703024.28,4.358904109589,,
598,006748.OF,富国中证价值ETF联接A,曹璐迪,牛志冬(20181225-20200525) 王乐乐(20181225-20200525) 曹璐迪(20200520-至今),是,股票型基金,被动指数型股票基金,107503683.36,4.5917808219178,0.01,0.21632257000533
599,006751.OF,富国互联科技股票A,许炎,许炎(20190326-至今),否,股票型基金,普通股票型基金,2782722600.33,4.3424657534247,37.81,84.766510669948
600,006756.OF,国泰中证生物医药ETF联接A,"梁杏,黄岳",梁杏(20190416-至今) 徐成城(20190416-20201211) 黄岳(20210205-至今),是,股票型基金,被动指数型股票基金,229790089.53,4.2849315068493,0.27,
601,006757.OF,国泰中证生物医药ETF联接C,"黄岳,梁杏",梁杏(20190416-至今) 徐成城(20190416-20201211) 黄岳(20210205-至今),是,股票型基金,被动指数型股票基金,573469490.83,4.2849315068493,7.85,
602,006781.OF,汇丰晋信港股通精选股票,许廷全,程彧(20190320-20210109) 许廷全(20190817-至今),否,股票型基金,普通股票型基金,60975586.87,4.358904109589,,91.287200377727
603,006786.OF,泰康中证港股通大消费A,刘伟,黄成扬(20190409-20210412) 刘伟(20190409-至今),是,股票型基金,被动指数型股票基金,39497873.28,4.3041095890411,20.43,94.752653394602
604,006787.OF,泰康中证港股通大消费C,刘伟,黄成扬(20190409-20210412) 刘伟(20190409-至今),是,股票型基金,被动指数型股票基金,46988516.97,4.3041095890411,52.43,94.752653394602
605,006792.OF,鹏华港美互联网美元现汇,"周欣,李悦",尤柏年(20190415-20220910) 顾柔刚(20190420-20210622) 李悦(20220709-至今) 周欣(20230513-至今),否,QDII基金,QDII股票型基金,125709721.06,4.2876712328767,0.17,88.458932434316
606,006803.OF,嘉实互通精选股票,"杨欢,郑伟彬",陈叶雁南(20190220-20210611) 冯正彦(20190220-20210611) 郑伟彬(20210611-至今) 杨欢(20220706-至今),否,股票型基金,普通股票型基金,738811686.51,4.4356164383562,82.85,89.424897949436
607,006809.OF,泰康香港银行指数A,刘伟,黄成扬(20190416-20210412) 刘伟(20190416-至今),是,股票型基金,被动指数型股票基金,43484902.4,4.2849315068493,25.8,94.663401221809
608,006810.OF,泰康香港银行指数C,刘伟,黄成扬(20190416-20210412) 刘伟(20190416-至今),是,股票型基金,被动指数型股票基金,52828650.52,4.2849315068493,45.31,94.663401221809
609,006868.OF,华夏科技成长股票,张帆,张帆(20190305-至今),否,股票型基金,普通股票型基金,453290996.35,4.4,0.08,88.929480136679
610,006909.OF,华夏战略新兴成指ETF联接A,"余昊,鲁亚运",徐猛(20190605-20210719) 庞亚平(20200318-20201208) 余昊(20210719-至今) 鲁亚运(20230327-至今),是,股票型基金,被动指数型股票基金,158894108.13,4.1479452054795,9.56,0.060151312701707
611,006910.OF,华夏战略新兴成指ETF联接C,"余昊,鲁亚运",徐猛(20190605-20210719) 庞亚平(20200318-20201208) 余昊(20210719-至今) 鲁亚运(20230327-至今),是,股票型基金,被动指数型股票基金,80379924.12,4.1479452054795,0.0,0.060151312701707
612,006912.OF,长城久泰沪深300指数C,"杨建华,雷俊",雷俊(20190118-至今) 杨建华(20190118-至今),是,股票型基金,增强指数型股票基金,473713910.59,4.5260273972603,98.14,94.717604092352
613,006923.OF,前海开源沪港深非周期股票A,崔宸龙,史程(20190313-20200720) 王霞(20200720-20221027) 崔宸龙(20200720-至今),否,股票型基金,普通股票型基金,30483391.86,4.3780821917808,0.99,90.652867392415
614,006924.OF,前海开源沪港深非周期股票C,崔宸龙,史程(20190313-20200720) 王霞(20200720-20221027) 崔宸龙(20200720-至今),否,股票型基金,普通股票型基金,23108554.79,4.3780821917808,,90.652867392415
615,006926.OF,长城量化精选股票A,雷俊,雷俊(20190529-至今),否,股票型基金,普通股票型基金,135806936.83,4.1671232876712,37.09,94.596136194867
616,006928.OF,长城创业板指数增强C,雷俊,雷俊(20190129-至今) 王卫林(20191220-20230207),是,股票型基金,增强指数型股票基金,698328783.42,4.4958904109589,0.04,93.665493617376
617,006937.OF,工银沪深300指数C,刘伟琳,刘伟琳(20190123-至今),是,股票型基金,被动指数型股票基金,103787936.26,4.5123287671233,78.3,94.39995953847
618,006938.OF,鹏华中证500指数(LOF)C,苏俊杰,张羽翔(20190122-20220812) 苏俊杰(20220812-至今),是,股票型基金,被动指数型股票基金,39296313.55,4.5150684931507,50.37,93.242957824435
619,006939.OF,鹏华沪深300指数(LOF)C,苏俊杰,张羽翔(20190122-20220803) 苏俊杰(20220803-至今),是,股票型基金,被动指数型股票基金,99375490.12,4.5150684931507,67.0,93.011154516816
620,006981.OF,中金新医药A,丁天宇,兰兰(20190514-20201230) 丁天宇(20201230-至今),否,股票型基金,普通股票型基金,132083214.72,4.2082191780822,0.01,92.073433107748
621,007005.OF,中金新医药C,丁天宇,兰兰(20190514-20201230) 丁天宇(20201230-至今),否,股票型基金,普通股票型基金,29968997.36,4.2082191780822,0.02,92.073433107748
622,007028.OF,易方达中证500ETF联接发起式A,"余海燕,庞亚平",余海燕(20190320-至今) 杨俊(20190320-20200326) 庞亚平(20221217-至今),是,股票型基金,被动指数型股票基金,1341427552.07,4.358904109589,1.1,0.0008813991548049
623,007029.OF,易方达中证500ETF联接发起式C,"余海燕,庞亚平",余海燕(20190320-至今) 杨俊(20190320-20200326) 庞亚平(20221217-至今),是,股票型基金,被动指数型股票基金,387484124.37,4.358904109589,3.87,0.0008813991548049
624,007044.OF,博道沪深300增强A,杨梦,杨梦(20190426-至今),是,股票型基金,增强指数型股票基金,188232219.8,4.2575342465753,59.08,92.982521702277
625,007045.OF,博道沪深300增强C,杨梦,杨梦(20190426-至今),是,股票型基金,增强指数型股票基金,78960547.61,4.2575342465753,30.14,92.982521702277
626,007076.OF,添富中证医药ETF联接A,过蓓蓓,过蓓蓓(20190326-至今),是,股票型基金,被动指数型股票基金,104747432.23,4.3424657534247,0.99,1.663535998845
627,007077.OF,添富中证医药ETF联接C,过蓓蓓,过蓓蓓(20190326-至今),是,股票型基金,被动指数型股票基金,143120790.67,4.3424657534247,0.02,1.663535998845
628,007089.OF,国投瑞银中证500指数量化增强C,殷瑞飞,殷瑞飞(20190314-至今),是,股票型基金,增强指数型股票基金,368053349.0,4.3753424657534,55.95,89.926205412024
629,007096.OF,大成沪深300指数C,"李绍,刘淼",苏秉毅(20190311-20230419) 张钟玉(20190311-20210902) 李绍(20230414-至今) 刘淼(20230414-至今),是,股票型基金,被动指数型股票基金,61165114.36,4.3835616438356,89.39,92.545338398863
630,007107.OF,太平MSCI香港价值增强A,林开盛,徐磊(20190731-20200518) 林开盛(20200518-至今),是,股票型基金,被动指数型股票基金,107145879.18,3.9945205479452,99.6727,92.15882728381
631,007108.OF,太平MSCI香港价值增强C,林开盛,徐磊(20190731-20200518) 林开盛(20200518-至今),是,股票型基金,被动指数型股票基金,37929.01,3.9945205479452,5.0527,92.15882728381
632,007130.OF,中庚小盘价值股票,丘栋荣,丘栋荣(20190403-至今),否,股票型基金,普通股票型基金,7844108318.09,4.3205479452055,58.96,93.498056782225
633,007133.OF,嘉实长青竞争优势股票A,刘美玲,龙昌伦(20190506-20211027) 刘美玲(20211027-至今),否,股票型基金,普通股票型基金,44807597.01,4.2301369863014,51.2,91.192199318045
634,007134.OF,嘉实长青竞争优势股票C,刘美玲,龙昌伦(20190506-20211027) 刘美玲(20211027-至今),否,股票型基金,普通股票型基金,6905712.62,4.2301369863014,60.6,91.192199318045
635,007135.OF,广发中证100ETF联接A,罗国庆,罗国庆(20190527-至今),是,股票型基金,被动指数型股票基金,52660011.81,4.172602739726,19.2,2.603330037164
636,007136.OF,广发中证100ETF联接C,罗国庆,罗国庆(20190527-至今),是,股票型基金,被动指数型股票基金,49627762.35,4.172602739726,,2.603330037164
637,007137.OF,鹏扬元合量化大盘优选股票A,施红俊,JIANG SHAOKUN(20190709-20200720) 施红俊(20200609-至今),否,股票型基金,普通股票型基金,13244492.44,4.0547945205479,13.05,94.051908268022
638,007138.OF,鹏扬元合量化大盘优选股票C,施红俊,JIANG SHAOKUN(20190709-20200720) 施红俊(20200609-至今),否,股票型基金,普通股票型基金,48700382.01,4.0547945205479,89.45,94.051908268022
639,007143.OF,国投瑞银沪深300指数量化增强A,殷瑞飞,殷瑞飞(20190611-至今),是,股票型基金,增强指数型股票基金,1014396826.89,4.1315068493151,69.63,93.358210674048
640,007144.OF,国投瑞银沪深300指数量化增强C,殷瑞飞,殷瑞飞(20190611-至今),是,股票型基金,增强指数型股票基金,321852447.12,4.1315068493151,91.08,93.358210674048
641,007153.OF,添富中证银行ETF联接A,乐无穹,过蓓蓓(20190415-20220613) 乐无穹(20190415-至今),是,股票型基金,被动指数型股票基金,118274032.04,4.2876712328767,0.06,
642,007154.OF,添富中证银行ETF联接C,乐无穹,过蓓蓓(20190415-20220613) 乐无穹(20190415-至今),是,股票型基金,被动指数型股票基金,171142933.21,4.2876712328767,0.01,
643,007178.OF,浙商港股通中华交易服务预期高股息指数增强A,贾腾,查晓磊(20191030-20220113) 刘宏达(20191030-20201215) 王剑(20191030-20201207) 贾腾(20201210-至今),是,股票型基金,增强指数型股票基金,374876387.53,3.7452054794521,73.26,91.6229577261
644,007191.OF,富国中证价值ETF联接C,曹璐迪,牛志冬(20190402-20200525) 王乐乐(20190402-20200525) 曹璐迪(20200520-至今),是,股票型基金,被动指数型股票基金,15224081.13,4.3232876712329,,0.21632257000533
645,007216.OF,浙商港股通中华交易服务预期高股息指数增强C,贾腾,查晓磊(20191030-20220113) 刘宏达(20191030-20201215) 王剑(20191030-20201207) 贾腾(20201210-至今),是,股票型基金,增强指数型股票基金,398547902.4,3.7452054794521,88.52,91.6229577261
646,007223.OF,工银瑞信中证500ETF联接C,赵栩,赵栩(20200218-至今) 刘伟琳(20200218-20220321),是,股票型基金,被动指数型股票基金,911490.39,3.441095890411,,
647,007230.OF,兴全沪深300指数(LOF)C,申庆,申庆(20190605-至今),是,股票型基金,增强指数型股票基金,316564345.68,4.1479452054795,1.56,94.975543295913
648,007275.OF,银河沪深300指数增强A,"黄栋,罗博",楼华锋(20190829-20210607) 罗博(20210607-至今) 黄栋(20220119-至今),是,股票型基金,增强指数型股票基金,55492242.14,3.9150684931507,51.89,90.827071235438
649,007276.OF,银河沪深300指数增强C,"罗博,黄栋",楼华锋(20190829-20210607) 罗博(20210607-至今) 黄栋(20220119-至今),是,股票型基金,增强指数型股票基金,38081438.51,3.9150684931507,86.88,90.827071235438
650,007280.OF,摩根日本精选股票(QDII),张军,张军(20190731-至今),否,QDII基金,QDII股票型基金,445084191.47,3.9945205479452,0.01,92.768018091764
651,007287.OF,合煦智远消费主题股票发起式A,杨志勇,程卉超(20190703-20220630) 杨志勇(20220630-至今),否,股票型基金,普通股票型基金,2149941.06,4.0712328767123,0.23,83.645805549566
652,007288.OF,合煦智远消费主题股票发起式C,杨志勇,程卉超(20190703-20220630) 杨志勇(20220630-至今),否,股票型基金,普通股票型基金,11934341.03,4.0712328767123,45.14,83.645805549566
653,007300.OF,国联安中证全指半导体产品与设备ETF联接A,"章椹元,黄欣",黄欣(20190626-至今) 章椹元(20200813-至今),是,股票型基金,被动指数型股票基金,1120031983.42,4.0904109589041,0.18,
654,007301.OF,国联安中证全指半导体产品与设备ETF联接C,"黄欣,章椹元",黄欣(20190626-至今) 章椹元(20200813-至今),是,股票型基金,被动指数型股票基金,3196902862.61,4.0904109589041,30.75,
655,007339.OF,易方达沪深300ETF联接C,"余海燕,庞亚平",余海燕(20190425-至今) 杨俊(20190425-20200318) 庞亚平(20221215-至今),是,股票型基金,被动指数型股票基金,2330140128.88,4.2602739726027,68.38,1.3047204741722
656,007354.OF,创金合信港股通量化股票A,"董梁,孙悦",董梁(20210111-至今) 孙悦(20210119-至今),否,股票型基金,普通股票型基金,296720755.56,2.5424657534247,,90.440851505453
657,007357.OF,创金合信港股通量化股票C,"董梁,孙悦",董梁(20210111-至今) 孙悦(20210119-至今),否,股票型基金,普通股票型基金,20353495.98,2.5424657534247,4.32,90.440851505453
658,007379.OF,易方达上证50ETF联接发起式A,余海燕,余海燕(20190909-至今) 成曦(20190909-20201212),是,股票型基金,被动指数型股票基金,287829784.37,3.8849315068493,11.43,
659,007380.OF,易方达上证50ETF联接发起式C,余海燕,余海燕(20190909-至今) 成曦(20190909-20201212),是,股票型基金,被动指数型股票基金,293953201.04,3.8849315068493,11.64,
660,007386.OF,浙商中证500指数增强C,胡羿,查晓磊(20190424-20191126) 王剑(20190807-20201207) 向伟(20201130-20230608) 胡羿(20210803-至今),是,股票型基金,增强指数型股票基金,109265183.1,4.2630136986301,56.85,87.036306629475
661,007388.OF,摩根研究驱动A,朱晓龙,朱晓龙(20200612-至今),否,股票型基金,普通股票型基金,47794110.84,3.1260273972603,,80.772526632263
662,007389.OF,摩根研究驱动C,朱晓龙,朱晓龙(20200612-至今),否,股票型基金,普通股票型基金,11658072.89,3.1260273972603,,80.772526632263
663,007397.OF,华宝价值基金C,"周晶,杨洋",周晶(20190517-至今) 杨洋(20210511-至今),是,股票型基金,被动指数型股票基金,4058429.38,4.2,,94.804541205579
664,007404.OF,华宝沪深300增强C,"王正,徐林明",徐林明(20190524-至今) 王正(20200102-至今),是,股票型基金,增强指数型股票基金,156136076.23,4.1808219178082,14.71,92.634002667145
665,007405.OF,华宝中证100ETF联接C,陈建华,陈建华(20190510-至今),是,股票型基金,被动指数型股票基金,14039978.75,4.2191780821918,59.04,0.27909298584121
666,007413.OF,长城中证500指数增强C,雷俊,雷俊(20190509-至今),是,股票型基金,增强指数型股票基金,183052802.3,4.2219178082192,62.57,94.033666578411
667,007431.OF,浙商之江凤凰联接,"邸明轩,周文超",马斌博(20190731-20220216) 周文超(20210426-至今) 邸明轩(20220303-至今),是,股票型基金,被动指数型股票基金,73101752.98,3.9945205479452,2.26,2.6540545593411
668,007448.OF,长信沪深300指数增强C,宋海岸,左金保(20190516-20200422) 宋海岸(20190516-至今),是,股票型基金,增强指数型股票基金,177334756.99,4.2027397260274,36.93,93.299711485292
669,007455.OF,富国蓝筹精选股票(QDII),"张峰,宁君",张峰(20190802-至今) 宁君(20190821-至今),否,QDII基金,QDII股票型基金,1282212893.64,3.9890410958904,40.1,91.964604508044
670,007464.OF,交银创业板50指数A,邵文婷,蔡铮(20191120-20210430) 邵文婷(20210430-至今),是,股票型基金,被动指数型股票基金,1093466925.87,3.6876712328767,14.39,94.232794083975
671,007465.OF,交银创业板50指数C,邵文婷,蔡铮(20191120-20210430) 邵文婷(20210430-至今),是,股票型基金,被动指数型股票基金,978262138.98,3.6876712328767,6.06,94.232794083975
672,007466.OF,华泰柏瑞中证红利低波ETF联接A,柳军,柳军(20190715-至今),是,股票型基金,被动指数型股票基金,102052676.86,4.0383561643836,,0.083671949702109
673,007467.OF,华泰柏瑞中证红利低波ETF联接C,柳军,柳军(20190715-至今),是,股票型基金,被动指数型股票基金,141874232.03,4.0383561643836,0.7,0.083671949702109
674,007470.OF,博道叁佰智航A,杨梦,杨梦(20190605-至今),否,股票型基金,普通股票型基金,683196827.92,4.1479452054795,69.73,91.467137602513
675,007471.OF,博道叁佰智航C,杨梦,杨梦(20190605-至今),否,股票型基金,普通股票型基金,367766766.48,4.1479452054795,50.53,91.467137602513
676,007472.OF,华夏创业板低波价值ETF发起式联接A,司帆,荣膺(20190626-20211021) 司帆(20211021-至今),是,股票型基金,被动指数型股票基金,217490343.78,4.0904109589041,6.38,
677,007473.OF,华夏创业板低波价值ETF发起式联接C,司帆,荣膺(20190626-20211021) 司帆(20211021-至今),是,股票型基金,被动指数型股票基金,75102487.33,4.0904109589041,,
678,007474.OF,华夏创业板动量成长ETF发起式联接A,鲁亚运,荣膺(20190626-20220822) 鲁亚运(20220610-至今),是,股票型基金,被动指数型股票基金,748872923.01,4.0904109589041,3.39,
679,007475.OF,华夏创业板动量成长ETF发起式联接C,鲁亚运,荣膺(20190626-20220822) 鲁亚运(20220610-至今),是,股票型基金,被动指数型股票基金,515293799.86,4.0904109589041,0.37,
680,007479.OF,光大保德信量化股票C,"赵大年,韩羽辰",赵大年(20230421-至今) 韩羽辰(20230803-至今),否,股票型基金,普通股票型基金,204.7,0.26849315068493,,
681,007505.OF,华夏中证AH经济蓝筹股票指数A,荣膺,庞亚平(20190716-20201208) 荣膺(20201208-至今),是,股票型基金,被动指数型股票基金,33330444.99,4.0356164383562,37.92,91.955891691898
