,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ths_portfolio_duration_fund,ths_jjzhjq_mkl_fund,ths_jjggbl_fund,ACEtype,Fundtype
1552,004978.OF,004978,富国聚利纯债三个月定开债发起式,富国基金,"刘瀚驰,朱梦娜",中长期纯债券型基金,4652567036.3,1.7175903039218,1.7162654932217,144.88020025845,,纯债基金
1564,005024.OF,005024,南方兴利半年定开债券发起,南方基金,"李璇,杜才超",中长期纯债券型基金,2040788600.32,1.9920558020301,2.6122912478746,159.58397065768,,纯债基金
1572,005072.OF,005072,中银丰进定期开放债券,中银基金,易芳菲,中长期纯债券型基金,3024803095.56,2.358089032212,2.3563722496421,117.10000859624,,纯债基金
1573,005073.OF,005073,永赢永益债券A,永赢基金,徐沛琳,中长期纯债券型基金,2042425187.71,2.7129261084994,2.7124577053914,127.59467308136,A,纯债基金
1578,005099.OF,005099,易方达富华纯债债券A,易方达基金,藏海涛,中长期纯债券型基金,316135281.93,1.8383496915964,4.1006582885546,119.83895287394,A,纯债基金
1580,005124.OF,005124,易方达恒益定开债券发起式,易方达基金,胡剑,中长期纯债券型基金,7012310434.49,1.3471456382714,1.3466425207814,159.42403874627,,纯债基金
1589,005171.OF,005171,富国景利纯债债券,富国基金,"朱梦娜,陈倩",中长期纯债券型基金,2807695739.81,1.9909801164895,3.9200563637868,113.62675633172,,纯债基金
1592,005200.OF,005200,浦银普瑞A,浦银安盛基金,章潇枫,中长期纯债券型基金,1033160929.05,1.8821476249013,1.8840532401408,106.72324129542,A,纯债基金
1610,005307.OF,005307,财通资管鸿达纯债债券A,财通证券资管,"王珊,陈希希",中长期纯债券型基金,7059177489.48,0.81377633339872,2.6320807276541,109.01302689978,A,纯债基金
1612,005309.OF,005309,中银证券汇嘉定期开放债券,中银证券,"吕文晔,余亮",中长期纯债券型基金,41769457523.53,2.2991286959051,3.5312316505469,100.03486753564,,纯债基金
1615,005321.OF,005321,中银证券汇宇定期开放债券,中银证券,余亮,中长期纯债券型基金,11841442622.39,2.9856833850225,2.9855330701173,100.0338851595,,纯债基金
1616,005322.OF,005322,中银丰禧定期开放债券,中银基金,郑涛,中长期纯债券型基金,3149769270.34,0.82941268805801,2.7699366755187,103.27988851351,,纯债基金
1618,005336.OF,005336,中加颐慧定开债券A,中加基金,王霈,中长期纯债券型基金,7040809006.84,1.8027743785179,2.5938108245335,124.23299932128,A,纯债基金
1626,005362.OF,005362,中银证券安源债券A,中银证券,吕文晔,中长期纯债券型基金,1112244652.15,0.59191130393723,0.59085925055656,130.1762930333,A,纯债基金
1628,005364.OF,005364,华夏鼎顺三个月定开债券A,华夏基金,张海静,中长期纯债券型基金,4291363077.47,3.21842684645,3.2184416728475,124.03900727035,A,纯债基金
1632,005369.OF,005369,富国臻利纯债定期开放债券型发起式,富国基金,武磊,中长期纯债券型基金,5014883592.17,2.1591400040971,3.3422038192505,154.55037843234,,纯债基金
1636,005383.OF,005383,富国绿色纯债一年定开债券,富国基金,朱梦娜,中长期纯债券型基金,222403260.87,0.69557124586054,2.3885132722969,114.49937276722,,纯债基金
1638,005388.OF,005388,兴业安弘3个月定开债券发起式,兴业基金,刘禹含,中长期纯债券型基金,3002295575.98,1.1483587526749,1.6581656425686,134.16071125659,,纯债基金
1639,005393.OF,005393,南方卓利3个月定开债发起式,南方基金,"金凌志,李璇",中长期纯债券型基金,7872258613.38,1.384228832663,1.3815267953686,126.0690183651,,纯债基金
1640,005398.OF,005398,鹏扬淳优债券,鹏扬基金,"王莹莹,陈钟闻",中长期纯债券型基金,1183047603.8,1.7135203101894,1.7125882075731,139.3847269707,,纯债基金
1645,005419.OF,005419,中欧聚瑞债券A,中欧基金,"周锦程,LI TONG",混合债券型基金(一级),1936079446.78,1.8008480190482,3.2983382491131,129.66399121974,A,纯债基金
1652,005432.OF,005432,上银聚鸿益三个月定开债券发起式,上银基金,"蔡唯峰,许佳",中长期纯债券型基金,2502637366.14,5.9219961438791,4.7639022762778,150.4464749844,,纯债基金
1653,005435.OF,005435,国投瑞银顺银债券,国投瑞银基金,李鸥,中长期纯债券型基金,2390461672.14,0.85585106729268,1.2490994009352,100.04395088833,,纯债基金
1655,005439.OF,005439,易方达恒安定开债券发起式,易方达基金,李一硕,中长期纯债券型基金,1024196970.63,1.1081749157521,1.106890708501,138.43147407455,,纯债基金
1656,005442.OF,005442,兴业安和6个月定开债券发起式,兴业基金,冯小波,中长期纯债券型基金,4971180467.4,3.1075624633792,4.9750568125663,104.72594234268,,纯债基金
1663,005462.OF,005462,博时富业3个月定开债发起式,博时基金,"倪玉娟,吕瑞君",中长期纯债券型基金,2007213923.98,2.16855472806,3.6338494575496,148.62822192438,,纯债基金
1668,005469.OF,005469,南方浙利定开债券发起,南方基金,黄斌斌,中长期纯债券型基金,2008465715.19,1.2873686295557,1.2871150930259,126.73923859085,,纯债基金
1682,005525.OF,005525,工银瑞祥定开发起式债券,工银瑞信,"赵建,李娜",混合债券型基金(一级),5062184485.94,1.6004137312081,1.6002287548501,147.73994169616,,纯债基金
1684,005531.OF,005531,华安安悦债券A,华安基金,郑如熙,中长期纯债券型基金,1752224542.41,1.2969396455952,3.3273340403435,127.4572891051,A,纯债基金
1692,005577.OF,005577,交银丰晟收益债券A,交银施罗德,于海颖,中长期纯债券型基金,6874523391.3,1.8940285342143,3.2639754397567,122.53588687822,A,纯债基金
1696,005590.OF,005590,添富鑫永定开债A,汇添富基金,胡娜,混合债券型基金(一级),5671848575.54,1.4531264994414,1.4535009868454,127.37345471767,A,纯债基金
1698,005594.OF,005594,招商添润3个月定开债发起式A,招商基金,李家辉,中长期纯债券型基金,6112467962.43,1.3625260007364,3.7817696553999,125.69562090736,A,纯债基金
1702,005606.OF,005606,招商招鸿6个月定开债发起式,招商基金,刘万锋,中长期纯债券型基金,992338627.95,2.1120071364394,2.1109866974447,114.15359160916,,纯债基金
1706,005622.OF,005622,博时富安3个月定开债发起式,博时基金,"李秋实,黄海峰",中长期纯债券型基金,5257751888.55,2.1460334292397,3.7314624860341,126.1140459081,,纯债基金
1710,005631.OF,005631,博时富乾3个月定开债发起式,博时基金,于渤洋,中长期纯债券型基金,8358450570.95,2.3588980423971,2.9855470080209,124.73974821622,,纯债基金
1715,005648.OF,005648,招商添琪3个月定开债发起式A,招商基金,"姜南林,李家辉",中长期纯债券型基金,2212852527.28,1.3553401928505,2.860491732463,117.83477979868,A,纯债基金
1721,005666.OF,005666,上银慧佳盈债券,上银基金,楼昕宇,中长期纯债券型基金,8130891538.96,2.252936260128,2.2524685069334,117.19364396636,,纯债基金
1723,005670.OF,005670,嘉实致兴定期纯债债券,嘉实基金,"王立芹,赵国英",中长期纯债券型基金,3463212348.05,2.2127081000636,5.60627437319,133.4288186392,,纯债基金
1726,005684.OF,005684,财通资管鸿睿12个月定开债券A,财通证券资管,"陈希希,顾宇笛",混合债券型基金(一级),2421913025.51,1.8767289794721,2.7862584908406,121.41156129877,A,纯债基金
1729,005703.OF,005703,永赢增益债券A,永赢基金,谢越,中长期纯债券型基金,5068585214.47,1.6446632620691,1.6445470532935,115.13372328791,A,纯债基金
1731,005705.OF,005705,永赢恒益债券,永赢基金,章成,中长期纯债券型基金,6977100077.47,2.4305665832746,2.4303444227542,137.95009626578,,纯债基金
1732,005709.OF,005709,华安鼎益债券A,华安基金,郑如熙,中长期纯债券型基金,4261218935.04,0.79715495798017,2.3506891935731,124.7409002138,A,纯债基金
1733,005710.OF,005710,兴业嘉润3个月定开债券发起式,兴业基金,雷志强,中长期纯债券型基金,2040033775.38,3.3798737446322,3.3800638378796,131.61234036578,,纯债基金
1734,005712.OF,005712,兴全祥泰定期开放债券,兴证全球基金,"石广翔,王健,翟秀华",中长期纯债券型基金,10036794668.62,2.1898256567405,4.110930873789,135.41428837817,,纯债基金
1738,005718.OF,005718,长信富瑞两年定开债券A,长信基金,"杜国昊,邹依恩",中长期纯债券型基金,10056960935.66,0.15235542451976,0.15056932305988,181.03746491867,A,纯债基金
1739,005719.OF,005719,招商招诚半年定开债发起式,招商基金,李家辉,中长期纯债券型基金,1799920490.57,1.9432919776143,1.9410338392641,121.72719272428,,纯债基金
1746,005736.OF,005736,中欧兴华债券,中欧基金,"洪慧梅,周锦程,LI TONG",中长期纯债券型基金,2413534564.76,1.5578794145334,2.3529379294839,146.35836298749,,纯债基金
1747,005740.OF,005740,易方达恒信定开债券发起式,易方达基金,胡剑,中长期纯债券型基金,7562454045.61,2.252633920211,2.2529682819634,141.20294669148,,纯债基金
1754,005754.OF,005754,平安短债A,平安基金,欧阳亮,短期纯债券型基金,8647675245.86,0.63799162712555,1.0582315760355,130.88986326619,A,纯债基金
1759,005772.OF,005772,工银瑞景定开发起式债券,工银瑞信,陈桂都,中长期纯债券型基金,14162660089.45,1.172222456121,1.1720001439805,100.03515294252,,纯债基金
1763,005781.OF,005781,华富富瑞3个月定期开放债券,华富基金,倪莉莎,中长期纯债券型基金,4934246859.6,1.0859155335472,2.5280906120786,100.76911252071,,纯债基金
1764,005782.OF,005782,创金合信汇益纯债一年定开债券A,创金合信基金,郑振源,混合债券型基金(一级),512280056.8,1.2002967291255,1.1941217277348,134.63807821808,A,纯债基金
1766,005784.OF,005784,创金合信汇誉纯债六个月定开债券A,创金合信基金,郑振源,混合债券型基金(一级),305667625.14,1.7735393946219,1.7678736301837,116.27694835762,A,纯债基金
1770,005791.OF,005791,华夏鼎福三个月定开债券A,华夏基金,孙蕾,中长期纯债券型基金,2016344031.05,2.2881596350859,2.2881194190127,132.89185420082,A,纯债基金
1773,005816.OF,005816,国泰农惠定期开放债券,国泰基金,刘嵩扬,混合债券型基金(一级),219565399.05,0.72088175586085,1.7244022267142,120.68335119581,,纯债基金
1776,005820.OF,005820,博时富兴纯债3个月定开债发起式,博时基金,陈黎,中长期纯债券型基金,3234451826.32,3.3681097575329,3.3664562413531,131.40459771743,,纯债基金
1778,005831.OF,005831,鹏华尊悦定开债发起式,鹏华基金,刘涛,中长期纯债券型基金,3481760472.19,9.1539616600351,10.378716670909,130.2311768784,,纯债基金
1779,005836.OF,005836,创金合信泰盈双季红定开债券A,创金合信基金,郑振源,中长期纯债券型基金,545014429.71,1.1580722997176,1.6264245523722,125.39644242697,A,纯债基金
1783,005841.OF,005841,富国尊利纯债定期开放债券型发起式,富国基金,武磊,中长期纯债券型基金,6887695986.44,1.3878585694224,1.3871309410668,149.08560735732,,纯债基金
1784,005842.OF,005842,海富通弘丰定开债券,海富通基金,"陈轶平,方昆明",中长期纯债券型基金,532667855.45,2.1723727651555,4.633215789354,125.05805634118,,纯债基金
1786,005845.OF,005845,长城久荣定期开放债券型发起式,长城基金,吴冰燕,中长期纯债券型基金,3034931500.78,0.8124825867908,1.4178419536742,100.04176758222,,纯债基金
1790,005853.OF,005853,财通聚利债券,财通基金,罗晓倩,中长期纯债券型基金,550286915.69,0.74764299645491,0.74546777671067,126.06171980851,,纯债基金
1791,005854.OF,005854,财通汇利债券,财通基金,闫梦璇,中长期纯债券型基金,51081139.1,0.7879349542247,0.78530833641118,117.87850934984,,纯债基金
1794,005862.OF,005862,华夏鼎禄三个月定开债券A,华夏基金,孙蕾,混合债券型基金(一级),4131715895.52,2.7813599540893,3.2660626293443,126.18089365759,A,纯债基金
1796,005864.OF,005864,国投瑞银顺达纯债债券,国投瑞银基金,"敬夏玺,李鸥",中长期纯债券型基金,457440725.44,1.8677086487049,1.8674803769262,125.91872736647,,纯债基金
1797,005871.OF,005871,天弘荣享,天弘基金,"任明,刘洋",混合债券型基金(一级),7973814015.13,2.7246140236179,2.7221127102421,105.34658746343,,纯债基金
1799,005879.OF,005879,中加颐兴定开债券,中加基金,"颜灵珊,闫沛贤",中长期纯债券型基金,4055972629.04,1.1154906020214,2.9174667949893,131.55912633545,,纯债基金
1810,005897.OF,005897,平安合颖定开债,平安基金,"张文平,张恒",中长期纯债券型基金,1724706285.93,2.5064806474851,2.5054947406934,113.67212439844,,纯债基金
1811,005898.OF,005898,浦银安盛盛泽定开债券,浦银安盛基金,陶祺,中长期纯债券型基金,1864146183.6,3.1159597081943,3.1155432506048,132.28516856268,,纯债基金
1815,005920.OF,005920,富国颐利纯债债券,富国基金,"吕春杰,李金柳",中长期纯债券型基金,1337506985.3,1.5412232922709,1.5412828916941,113.23794396037,,纯债基金
1816,005921.OF,005921,农银金鑫定开债券,农银汇理基金,郭振宇,混合债券型基金(一级),5383506635.4,1.7032122310713,1.7029671083869,151.75856014772,,纯债基金
1817,005931.OF,005931,国联恒裕纯债A,国联基金,哈默,混合债券型基金(一级),1089541582.01,0.93025597787017,0.92922907390393,126.13385052039,A,纯债基金
1825,005971.OF,005971,平安惠锦债券,平安基金,欧阳亮,中长期纯债券型基金,1996757172.63,1.9584288275706,3.3114697729358,113.021107875,,纯债基金
1826,005972.OF,005972,交银裕如纯债债券A,交银施罗德,"于海颖,张顺晨",中长期纯债券型基金,455029.2,0.3189,0.3189,124.77953063232,A,纯债基金
1828,005988.OF,005988,兴业纯债6个月定开债券A,兴业基金,伍方方,混合债券型基金(一级),979949792.91,2.5647717614878,2.5647660031518,114.33272852611,A,纯债基金
1845,006029.OF,006029,鹏华尊享定期开放发起式债券,鹏华基金,应琛,中长期纯债券型基金,4182993623.98,0.32472784937063,0.80030507017492,100.03725001949,,纯债基金
1848,006032.OF,006032,创金合信汇泽三个月定开债券A,创金合信基金,郑振源,中长期纯债券型基金,220239524.6,0.96922319310889,0.96894579926886,100.10571017188,A,纯债基金
1853,006043.OF,006043,永赢惠益债券A,永赢基金,吴玮,中长期纯债券型基金,2674554874.17,4.3857452566786,3.7350561436206,115.61503575991,A,纯债基金
1855,006045.OF,006045,长城久瑞三个月定期开放债券发起式,长城基金,"张棪,吴冰燕",中长期纯债券型基金,2183397868.62,1.8768173120578,2.9489735874295,138.07040168063,,纯债基金
1857,006053.OF,006053,中航瑞景3个月定开A,中航基金,茅勇峰,混合债券型基金(一级),4085075562.89,1.192736351172,1.1911995956914,111.68286808145,A,纯债基金
1866,006066.OF,006066,中加颐睿纯债债券A,中加基金,于跃,中长期纯债券型基金,3528311400.75,1.3487266791338,1.6208061940515,116.11868412661,A,纯债基金
1874,006076.OF,006076,创金合信恒利超短债债券A,创金合信基金,"谢创,吕沂洋,郑振源",混合债券型基金(一级),4343234273.04,0.35813267012073,2.9604106958026,120.8618203601,A,纯债基金
1876,006082.OF,006082,鑫元全利一年定期开放债券发起式A,鑫元基金,郭卉,中长期纯债券型基金,1058943237.31,3.7503446311016,4.2506805633069,114.02766516809,A,纯债基金
1879,006088.OF,006088,永赢润益债券A,永赢基金,章成,中长期纯债券型基金,1339425670.09,0.62710022547287,1.3827951160726,137.53996422856,A,纯债基金
1886,006097.OF,006097,平安高等级债A,平安基金,欧阳亮,混合债券型基金(一级),959507670.65,1.374135553458,1.3739082611724,106.19429932954,A,纯债基金
1889,006107.OF,006107,招商添利6个月定开债发起式A,招商基金,"刘万锋,康晶",中长期纯债券型基金,8023536167.19,1.92229921274,3.575639670368,120.09721927887,A,纯债基金
1891,006112.OF,006112,易方达恒惠定开债券发起式,易方达基金,李一硕,中长期纯债券型基金,617470619.09,2.1790493072419,2.1791079292776,100.05442026059,,纯债基金
1894,006116.OF,006116,国泰丰祺纯债债券A,国泰基金,"胡智磊,索峰",中长期纯债券型基金,6836314109.19,2.7528744750876,2.5961169821241,124.46466436924,A,纯债基金
1895,006120.OF,006120,国联聚明定期开放债券,国联基金,"王玥,石霄蒙",混合债券型基金(一级),1963404090.62,1.8275605428524,1.8249202124426,153.93288851688,,纯债基金
1898,006137.OF,006137,广发汇立定期开放债券,广发基金,赵子良,中长期纯债券型基金,4114299320.66,0.95393830709802,1.2699336499051,131.83827941181,,纯债基金
1907,006150.OF,006150,招商添利两年债券,招商基金,"马龙,李家辉",混合债券型基金(一级),503137936.06,0.38795506959106,0.67870803658817,159.40796578979,,纯债基金
1908,006151.OF,006151,南方交元债券,南方基金,"陈霜阳,李璇",中长期纯债券型基金,4082225559.29,2.0641840768858,2.5913757671074,102.09579779136,,纯债基金
1913,006169.OF,006169,工银瑞福纯债债券A,工银瑞信,李娜,中长期纯债券型基金,23742070.29,0.66069775861107,0.65839850574071,100.86393114625,A,纯债基金
1915,006171.OF,006171,鹏扬淳利定期开放债券,鹏扬基金,"陈钟闻,王莹莹",中长期纯债券型基金,774377901.18,1.7212393583408,1.7202756166668,137.01422986932,,纯债基金
1916,006172.OF,006172,万家鑫悦纯债A,万家基金,周潜玮,中长期纯债券型基金,3439791171.86,2.1567408193638,2.1569466967168,100.04836345426,A,纯债基金
1928,006191.OF,006191,华夏鼎通债券A,华夏基金,吴彬,中长期纯债券型基金,7618035995.66,3.7599312061153,4.468090049028,122.63409743958,A,纯债基金
1945,006275.OF,006275,永赢聚益债券A,永赢基金,徐沛琳,中长期纯债券型基金,2097762981.21,2.1170982987542,2.1160521586898,135.52134705991,A,纯债基金
1949,006287.OF,006287,永赢盛益债券A,永赢基金,章成,中长期纯债券型基金,6778638457.45,2.7662561013604,2.7660915829026,135.26701671798,A,纯债基金
1955,006319.OF,006319,易方达安瑞短债债券A,易方达基金,"王晓晨,石大怿",短期纯债券型基金,4509800653.16,0.34721580588426,0.34720434622847,111.47168185732,A,纯债基金
1957,006325.OF,006325,招商添荣3个月定开债发起式A,招商基金,康晶,中长期纯债券型基金,7233082918.01,2.2352427389023,4.0609217121743,100.36826967342,A,纯债基金
1960,006332.OF,006332,招商金鸿债券A,招商基金,黄晓婷,中长期纯债券型基金,369358018.92,1.7358801231164,1.7281049581521,122.68528504268,A,纯债基金
1965,006360.OF,006360,财通资管鸿益中短债债券A,财通证券资管,李杰,短期纯债券型基金,8586322989.0,1.0401700756544,1.0400034193368,111.82697707996,A,纯债基金
1967,006367.OF,006367,交银裕祥纯债债券A,交银施罗德,季参平,中长期纯债券型基金,4011731259.09,2.1235434954351,2.1236603152127,132.37024085543,A,纯债基金
1969,006378.OF,006378,广发汇宏6个月定开债,广发基金,赵子良,中长期纯债券型基金,3741184805.18,1.6294684631957,2.4300363880921,118.09097138112,,纯债基金
1976,006393.OF,006393,招商添德3个月定开债A,招商基金,黄晓婷,中长期纯债券型基金,3036484695.23,1.1703920872203,1.1703351771251,113.37595864152,A,纯债基金
1980,006405.OF,006405,华富恒盛纯债债券A,华富基金,倪莉莎,中长期纯债券型基金,663496048.14,0.84069467926019,1.5086828465684,133.06785148684,A,纯债基金
1984,006411.OF,006411,中加颐智纯债债券,中加基金,王霈,中长期纯债券型基金,996312634.45,0.36606396381651,0.36524469578713,114.10965547753,,纯债基金
1989,006421.OF,006421,中银弘享债券A,中银基金,易芳菲,中长期纯债券型基金,1915780680.65,2.8160695038969,2.8161735744636,142.2736773734,A,纯债基金
1992,006427.OF,006427,招商添悦纯债A,招商基金,刘万锋,中长期纯债券型基金,8211262708.58,3.4419782028148,3.4413940139859,100.02217269273,A,纯债基金
1996,006434.OF,006434,鹏华3个月中短债A,鹏华基金,"王康佳,张佳蕾",短期纯债券型基金,1345360376.64,3.482708811804,3.4829399588727,117.27176546557,A,纯债基金
1997,006436.OF,006436,浦银中短债A,浦银安盛基金,曹治国,短期纯债券型基金,2924961684.5,0.74943772080935,3.2828371546966,135.27748058916,A,纯债基金
2001,006450.OF,006450,嘉实致盈债券,嘉实基金,"张文佳,王立芹",混合债券型基金(一级),3932766755.51,2.5123188028107,2.5120381413069,138.04763130927,,纯债基金
2009,006464.OF,006464,浦银普益A,浦银安盛基金,章潇枫,中长期纯债券型基金,1622534184.38,1.6185408693697,1.6185364662301,100.02655292838,A,纯债基金
2013,006468.OF,006468,嘉实稳联纯债债券,嘉实基金,李金灿,中长期纯债券型基金,1173749030.12,1.384040459755,1.3844284646626,135.74412761109,,纯债基金
2025,006489.OF,006489,招商添裕纯债A,招商基金,"向霈,马龙",中长期纯债券型基金,5576010611.07,1.5399434183251,1.5389352499524,115.08877526165,A,纯债基金
2036,006504.OF,006504,广发汇承定期开放债券,广发基金,宋倩倩,中长期纯债券型基金,360820493.74,2.119457916415,2.1195194192754,124.4160926218,,纯债基金
2046,006517.OF,006517,南方吉元短债A,南方基金,黄斌斌,短期纯债券型基金,622508557.32,0.36882218545238,0.36882365100726,109.96954795404,A,纯债基金
2057,006552.OF,006552,广发汇兴3个月定期开放债券,广发基金,赵子良,中长期纯债券型基金,513402507.41,1.2578059999655,1.2569828391626,113.12454346784,,纯债基金
2064,006570.OF,006570,中金金元A,中金基金,"董珊珊,闫雯雯",混合债券型基金(一级),8264401408.01,0.99479458093177,0.99473716547183,107.43368767234,A,纯债基金
2069,006582.OF,006582,博时富永3个月定开债发起式,博时基金,李秋实,中长期纯债券型基金,2533012617.76,1.8385885862639,1.8380807771372,129.35318874359,,纯债基金
2072,006591.OF,006591,广发景明中短债A,广发基金,宋倩倩,短期纯债券型基金,17689770415.17,0.98908488543906,0.9886564250057,131.1193644974,A,纯债基金
2075,006597.OF,006597,国泰利享中短债债券A,国泰基金,"陶然,丁士恒",短期纯债券型基金,15723533911.64,0.54856821796315,1.6732516750036,116.24949716367,A,纯债基金
2077,006599.OF,006599,国寿安保安丰纯债债券,国寿安保基金,李一鸣,混合债券型基金(一级),2004090551.19,0.91366132685797,0.91360441571205,135.74224193137,,纯债基金
2082,006617.OF,006617,工银瑞泽定开债券,工银瑞信,陈桂都,中长期纯债券型基金,5652066322.36,2.184050936097,5.4266622905415,112.84428393467,,纯债基金
2086,006626.OF,006626,山证超短债基金A,山西证券,"缪佳,刘凌云",短期纯债券型基金,14473792843.02,0.46345370949549,0.46018070952625,101.08083812451,A,纯债基金
2088,006629.OF,006629,招商鑫悦中短债A,招商基金,郭敏,短期纯债券型基金,4431753311.44,0.92283731434014,0.92260298058741,103.61767884341,A,纯债基金
2094,006635.OF,006635,永赢伟益债券,永赢基金,章成,中长期纯债券型基金,1686168769.39,2.0982466057548,2.0984121522721,130.05741799164,,纯债基金
2102,006646.OF,006646,添富短债债券A,汇添富基金,杨靖,短期纯债券型基金,7923754970.05,0.80369634210312,2.2958723927797,125.1939164672,A,纯债基金
2105,006653.OF,006653,南方畅利定开债券发起,南方基金,黄斌斌,中长期纯债券型基金,8547103031.72,1.4560294696726,3.1778180880658,108.22679346394,,纯债基金
2108,006660.OF,006660,永赢昌益债券A,永赢基金,徐沛琳,中长期纯债券型基金,1451015457.39,1.6257618345445,2.7905625222822,134.25551217587,A,纯债基金
2110,006662.OF,006662,易方达安悦超短债债券A,易方达基金,"梁莹,刘朝阳",短期纯债券型基金,7695066528.72,0.32056135433978,0.31947009693779,122.05074627876,A,纯债基金
2112,006664.OF,006664,易方达安悦超短债债券F,易方达基金,"梁莹,刘朝阳",短期纯债券型基金,7695066528.72,0.32056135433978,0.31947009693779,122.05074627876,,纯债基金
2113,006665.OF,006665,华夏鼎康债券A,华夏基金,吴彬,中长期纯债券型基金,6611634871.21,2.4244363484749,3.0614717257499,103.87781129908,A,纯债基金
2116,006668.OF,006668,华夏中短债债券A,华夏基金,刘明宇,短期纯债券型基金,9581980893.92,5.8955539836428,5.8951958793442,132.40091527911,A,纯债基金
2122,006677.OF,006677,中银稳汇短债债券A,中银基金,"朱水媚,白洁",短期纯债券型基金,1104421808.1,0.70878162966904,0.70717009206894,120.17987072199,A,纯债基金
2125,006683.OF,006683,富国国有企业债债券D,富国基金,张波,中长期纯债券型基金,12043362984.99,0.4371787421108,4.105027715808,114.03452162595,,纯债基金
2126,006684.OF,006684,富国信用债债券D,富国基金,"吕春杰,陈倩,黄纪亮",中长期纯债券型基金,18139279969.3,1.2206760776506,1.2199085735843,117.76432124926,,纯债基金
2129,006707.OF,006707,永赢宏益债券A,永赢基金,谢越,中长期纯债券型基金,1228397661.45,2.3941808247454,3.1975975699104,130.98666716938,A,纯债基金
2131,006714.OF,006714,博时富源纯债债券A,博时基金,"李秋实,何平",中长期纯债券型基金,1505311424.17,2.8275470474781,2.6581647478332,103.42598931636,A,纯债基金
2142,006740.OF,006740,工银尊利中短债债券A,工银瑞信,张略钊,短期纯债券型基金,421324169.52,1.1799499673865,1.1788757722089,109.11126113267,A,纯债基金
2148,006750.OF,006750,富国德利纯债三个月定期开放债券型发起式,富国基金,"刘瀚驰,吕春杰",中长期纯债券型基金,2875442315.67,0.92317982017547,0.92302282136354,137.81329290783,,纯债基金
2150,006758.OF,006758,农银汇理金禄债券,农银汇理基金,"郭振宇,周宇",中长期纯债券型基金,6163762758.41,2.2760984358334,2.27579766619,131.89784148923,,纯债基金
2154,006764.OF,006764,景顺长城景泰鑫利纯债A,景顺长城基金,何江波,中长期纯债券型基金,708160599.3,0.65220466162519,1.4658787027382,106.98339897883,A,纯债基金
2156,006771.OF,006771,永赢合益债券,永赢基金,谢越,中长期纯债券型基金,1999994224.2,1.1289084744268,1.1286882240645,116.43646544887,,纯债基金
2157,006772.OF,006772,汇添富丰润中短债A,汇添富基金,杨靖,短期纯债券型基金,211753451.62,1.7400005479747,1.8261562065311,106.27196979241,A,纯债基金
2160,006776.OF,006776,华夏鼎略债券A,华夏基金,孙蕾,中长期纯债券型基金,2153656778.25,0.83006629250156,3.0981953312637,100.04961315149,A,纯债基金
2162,006782.OF,006782,国泰信利三个月定期开放债券,国泰基金,"刘波,刘嵩扬",混合债券型基金(一级),4009281647.08,1.0736798447927,1.3513912717782,139.50376812997,,纯债基金
2165,006791.OF,006791,建信睿兴纯债债券,建信基金,刘思,中长期纯债券型基金,1857311001.81,2.1650101277832,2.1645111922777,100.01944396871,,纯债基金
2166,006793.OF,006793,交银稳鑫短债债券A,交银施罗德,"姬静,黄莹洁",短期纯债券型基金,7955027518.270001,0.5597504825944,0.55834273405582,112.79603506364,A,纯债基金
2169,006797.OF,006797,嘉实中短债债券A,嘉实基金,李金灿,短期纯债券型基金,15671255801.95,1.0050076466606,1.0044269773399,116.89965535979,A,纯债基金
2173,006804.OF,006804,富国短债债券型A,富国基金,"张波,刘爱民",短期纯债券型基金,10243709396.7,0.81904804725912,0.81892778712111,131.04373860054,A,纯债基金
2175,006806.OF,006806,西部利得添盈短债债券A,西部利得基金,刘心峰,短期纯债券型基金,1309046961.01,0.51427544473487,0.51431491283987,101.80723279337,A,纯债基金
2180,006824.OF,006824,创金合信鑫日享短债债券A,创金合信基金,"闫一帆,谢创,张贺章",混合债券型基金(一级),6039263540.76,0.79024914709078,2.0067778165833,110.60533537785,A,纯债基金
2185,006829.OF,006829,鹏扬利沣短债A,鹏扬基金,陈钟闻,短期纯债券型基金,907975529.85,0.42683898754054,0.59251672234622,119.95817108088,A,纯债基金
2190,006834.OF,006834,工银尊享短债债券A,工银瑞信,王朔,短期纯债券型基金,5137730305.79,0.47747730604371,0.47737679491661,129.32743831438,A,纯债基金
2193,006838.OF,006838,鑫元荣利三个月定开债发起式,鑫元基金,郭卉,中长期纯债券型基金,331187281.16,3.518997642054,3.5175077387001,104.59853319447,,纯债基金
2196,006841.OF,006841,嘉实致享纯债债券,嘉实基金,"赵国英,张文佳",中长期纯债券型基金,7124739995.6,2.2859171342406,2.2857891694308,139.30801904364,,纯债基金
2198,006846.OF,006846,福建国有企业债6个月定期开放债券A,中银基金,易芳菲,中长期纯债券型基金,728592586.08,1.5500307379462,2.6335905784337,171.11456453293,A,纯债基金
2202,006850.OF,006850,永赢颐利债券,永赢基金,谢越,中长期纯债券型基金,2349283825.51,1.9921882955362,1.992984194726,121.9745202859,,纯债基金
2204,006852.OF,006852,永赢迅利中高等级短债A,永赢基金,卢绮婷,短期纯债券型基金,8607220655.76,0.67478822398148,0.67371257219917,125.42263538899,A,纯债基金
