,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ths_found_years_fund
175,000253.OF,000253,景顺长城景兴信用纯债债券C,景顺长城基金,何江波,中长期纯债券型基金,1088830605.79,10.101369863014
176,000254.OF,000254,长城定期开放债券A,长城基金,张棪,混合债券型基金(一级),89286753.32,10.071232876712
177,000255.OF,000255,长城定期开放债券C,长城基金,张棪,混合债券型基金(一级),89286753.32,10.071232876712
178,000265.OF,000265,易方达恒久1年定期债券A,易方达基金,藏海涛,中长期纯债券型基金,1707066168.0,9.0602739726027
179,000266.OF,000266,易方达恒久1年定期债券C,易方达基金,藏海涛,中长期纯债券型基金,1707066168.0,9.0602739726027
180,000267.OF,000267,广发集利一年定期开放债券A,广发基金,代宇,混合债券型基金(一级),355174608.61,10.115068493151
181,000268.OF,000268,广发集利一年定期开放债券C,广发基金,代宇,混合债券型基金(一级),355174608.61,10.115068493151
182,000271.OF,000271,中邮定期开放债券A,中邮基金,张悦,中长期纯债券型基金,348049303.55,9.9068493150685
183,000272.OF,000272,中邮定期开放债券C,中邮基金,张悦,中长期纯债券型基金,348049303.55,9.9068493150685
184,000274.OF,000274,广发亚太中高收益债券(QDII)A(人民币),广发基金,"沈博文,李耀柱",QDII债券型基金,262524303.44,9.8438356164384
185,000275.OF,000275,广发亚太中高收益债券(QDII)A(美元),广发基金,"李耀柱,沈博文",QDII债券型基金,262524303.44,9.8438356164384
186,000277.OF,000277,博时双月薪定期支付债券,博时基金,胥艺,中长期纯债券型基金,371030998.22,9.9452054794521
187,000286.OF,000286,银华信用季季红债券A,银华基金,李丹,混合债券型基金(一级),3494738723.84,10.038356164384
188,000289.OF,000289,鹏华丰泰定期开放债券A,鹏华基金,戴钢,混合债券型基金(一级),560528063.02,10.021917808219
189,000290.OF,000290,鹏华全球高收益债(QDII),鹏华基金,郝黎黎,QDII债券型基金,225361019.77,9.9452054794521
190,000295.OF,000295,鹏华丰实定期开放债券A,鹏华基金,"方昶,王石千",混合债券型基金(一级),1925401856.43,10.060273972603
191,000296.OF,000296,鹏华丰实定期开放债券B,鹏华基金,"方昶,王石千",混合债券型基金(一级),1925401856.43,10.060273972603
192,000297.OF,000297,鹏华可转债债券A,鹏华基金,王石千,可转换债券型基金,8594468489.13,8.6602739726027
193,000298.OF,000298,中海纯债债券A,中海基金,王影峰,中长期纯债券型基金,759831022.03,9.4438356164384
194,000299.OF,000299,中海纯债债券C,中海基金,王影峰,中长期纯债券型基金,759831022.03,9.4438356164384
195,000305.OF,000305,中银中高等级债券A,中银基金,王妍,中长期纯债券型基金,1645801326.79,9.8246575342466
196,000306.OF,000306,天弘弘利债券,天弘基金,刘洋,混合债券型基金(二级),351917312.05,10.057534246575
197,000310.OF,000310,安信永利信用A,安信基金,李君,混合债券型基金(一级),226319934.47,9.8986301369863
198,000319.OF,000319,宏利淘利债券A,宏利基金,"蔡熠阳,李宇璐",混合债券型基金(一级),30996275.48,9.1561643835616
199,000320.OF,000320,宏利淘利债券C,宏利基金,"蔡熠阳,李宇璐",混合债券型基金(一级),30996275.48,9.1561643835616
200,000322.OF,000322,农银汇理金汇债券A,农银汇理基金,马逸钧,短期纯债券型基金,1341693327.03,3.2547945205479
201,000329.OF,000329,鹏华丰饶定期开放债券,鹏华基金,刘太阳,混合债券型基金(一级),934487114.01,7.1041095890411
202,000333.OF,000333,长城稳固收益债券A,长城基金,张棪,混合债券型基金(二级),20686777.68,8.6767123287671
203,000334.OF,000334,长城稳固收益债券C,长城基金,张棪,混合债券型基金(二级),20686777.68,8.6767123287671
204,000335.OF,000335,安信永利信用C,安信基金,李君,混合债券型基金(一级),226319934.47,9.8986301369863
205,000338.OF,000338,鹏华双债保利债券,鹏华基金,王石千,混合债券型基金(二级),6009313384.01,10.038356164384
206,000341.OF,000341,嘉实新兴市场C2,嘉实基金,"韩同利,张琴",QDII债券型基金,918602494.02,9.8493150684932
207,000342.OF,000342,嘉实新兴市场A1,嘉实基金,"张琴,韩同利",QDII债券型基金,918602494.02,9.8493150684932
208,000345.OF,000345,鹏华丰融定期开放债券,鹏华基金,刘涛,混合债券型基金(一级),831959761.37,9.8684931506849
209,000346.OF,000346,建信安心回报6个月定期开放债券A,建信基金,"闫晗,彭紫云",混合债券型基金(一级),3096181088.75,9.9068493150685
210,000347.OF,000347,建信安心回报6个月定期开放债券C,建信基金,"彭紫云,闫晗",混合债券型基金(一级),3096181088.75,9.9068493150685
211,000351.OF,000351,国富恒丰一年持有期债券A,国海富兰克林基金,王莉,混合债券型基金(一级),26335988.01,9.8657534246575
212,000352.OF,000352,国富恒丰一年持有期债券C,国海富兰克林基金,王莉,混合债券型基金(一级),26335988.01,9.8657534246575
213,000355.OF,000355,南方丰元信用增强债券A,南方基金,李璇,混合债券型基金(一级),608318399.59,9.8876712328767
214,000356.OF,000356,南方丰元信用增强债券C,南方基金,李璇,混合债券型基金(一级),608318399.59,9.8876712328767
215,000372.OF,000372,中银惠利半年定期开放债券A,中银基金,范静,中长期纯债券型基金,61821910.58,9.9013698630137
216,000377.OF,000377,摩根双债增利债券A,摩根资产管理,"王娟,杨鹏,陈圆明",混合债券型基金(二级),264036934.96,9.8082191780822
217,000378.OF,000378,摩根双债增利债券C,摩根资产管理,"陈圆明,王娟,杨鹏",混合债券型基金(二级),264036934.96,9.8082191780822
218,000385.OF,000385,景顺长城景颐双利债券A类,景顺长城基金,"李怡文,董晗",混合债券型基金(二级),20127551683.51,9.8849315068493
219,000386.OF,000386,景顺长城景颐双利债券C类,景顺长城基金,"董晗,李怡文",混合债券型基金(二级),20127551683.51,9.8849315068493
220,000394.OF,000394,融通通源短融债券A,融通基金,时慕蓉,短期纯债券型基金,115774808.0,8.9232876712329
221,000395.OF,000395,汇添富安心中国债券A,汇添富基金,"何旻,茹奕菡",中长期纯债券型基金,98888114.44,9.8602739726027
222,000396.OF,000396,汇添富安心中国债券C,汇添富基金,"茹奕菡,何旻",中长期纯债券型基金,98888114.44,9.8602739726027
223,000402.OF,000402,工银纯债债券A,工银瑞信,"张略钊,谷衡",中长期纯债券型基金,12174188527.19,9.3808219178082
224,000403.OF,000403,工银纯债债券B,工银瑞信,"张略钊,谷衡",中长期纯债券型基金,12174188527.19,9.3808219178082
225,000406.OF,000406,汇添富双利增强债券A,汇添富基金,"徐光,李超",混合债券型基金(二级),2723382934.94,9.8301369863014
226,000407.OF,000407,汇添富双利增强债券C,汇添富基金,"李超,徐光",混合债券型基金(二级),2723382934.94,9.8301369863014
227,000415.OF,000415,大摩添利18个月开放债券A,摩根士丹利基金,陈言一,中长期纯债券型基金,531858743.35,9.0821917808219
228,000416.OF,000416,大摩添利18个月开放债券C,摩根士丹利基金,陈言一,中长期纯债券型基金,531858743.35,9.0821917808219
229,000419.OF,000419,大摩优质信价纯债A,摩根士丹利基金,施同亮,中长期纯债券型基金,70108198.52,8.8520547945205
230,000420.OF,000420,大摩优质信价纯债C,摩根士丹利基金,施同亮,中长期纯债券型基金,70108198.52,8.8520547945205
231,000465.OF,000465,景顺长城鑫月薪定期支付债券,景顺长城基金,赵天彤,中长期纯债券型基金,183734212.17,9.5369863013699
232,000469.OF,000469,富国目标齐利一年期纯债债券,富国基金,"张洋,黄纪亮",中长期纯债券型基金,960564742.56,9.1890410958904
233,000487.OF,000487,嘉实3个月理财债券A,嘉实基金,张文玥,短期纯债券型基金,3445877330.17,4.5287671232877
234,000488.OF,000488,嘉实3个月理财债券E,嘉实基金,张文玥,短期纯债券型基金,3445877330.17,4.5287671232877
235,000489.OF,000489,光大保德信岁末红利纯债债券A,光大保德信基金,李怀定,中长期纯债券型基金,5738137.81,9.1397260273973
236,000490.OF,000490,光大保德信岁末红利纯债债券C,光大保德信基金,李怀定,中长期纯债券型基金,5738137.81,9.1397260273973
237,000497.OF,000497,财通纯债债券A,财通基金,张婉玉,中长期纯债券型基金,1012881964.34,9.7068493150685
238,000503.OF,000503,中信建投景和中短债A,中信建投基金,杨龙龙,短期纯债券型基金,155894978.28,9.6794520547945
239,000504.OF,000504,中信建投景和中短债C,中信建投基金,杨龙龙,短期纯债券型基金,155894978.28,9.6794520547945
240,000516.OF,000516,富国祥利一年期定期开放债券型A,富国基金,黄纪亮,中长期纯债券型基金,3572776118.75,6.0876712328767
241,000517.OF,000517,富国祥利一年期定期开放债券型C,富国基金,黄纪亮,中长期纯债券型基金,3572776118.75,6.0876712328767
242,000521.OF,000521,诺安瑞鑫定开发起式债券,诺安基金,"孙继鑫,潘飞",中长期纯债券型基金,812944381.59,5.758904109589
243,000536.OF,000536,前海开源可转债债券,前海开源基金,"林汉耀,易千",可转换债券型基金,2015801642.07,9.5232876712329
244,000546.OF,000546,兴业定开债券A,兴业基金,"腊博,周鸣",混合债券型基金(一级),2060158876.48,9.5561643835616
245,000552.OF,000552,中加纯债一年A,中加基金,闫沛贤,中长期纯债券型基金,917990440.38,9.5260273972603
246,000553.OF,000553,中加纯债一年C,中加基金,闫沛贤,中长期纯债券型基金,917990440.38,9.5260273972603
247,000561.OF,000561,南方启元A,南方基金,黄河,中长期纯债券型基金,1152388097.51,9.1890410958904
248,000562.OF,000562,南方启元C,南方基金,黄河,中长期纯债券型基金,1152388097.51,9.1890410958904
249,000563.OF,000563,南方通利A,南方基金,刘骥,中长期纯债券型基金,429505752.81,9.4383561643836
250,000564.OF,000564,南方通利C,南方基金,刘骥,中长期纯债券型基金,429505752.81,9.4383561643836
251,000578.OF,000578,鑫元恒鑫收益增强A,鑫元基金,曹建华,混合债券型基金(二级),123420281.21,9.4602739726027
252,000579.OF,000579,鑫元恒鑫收益增强C,鑫元基金,曹建华,混合债券型基金(二级),123420281.21,9.4602739726027
253,000583.OF,000583,江信聚福,江信基金,马超然,混合债券型基金(一级),89766394.81,9.3452054794521
254,000606.OF,000606,天弘优选债券,天弘基金,刘洋,中长期纯债券型基金,2106289182.24,6.013698630137
255,000655.OF,000655,鑫元稳利债券,鑫元基金,颜昕,中长期纯债券型基金,498615974.6,9.3068493150685
256,000668.OF,000668,国寿安保尊享债券A,国寿安保基金,高鑫,混合债券型基金(一级),294351696.23,9.1917808219178
257,000669.OF,000669,国寿安保尊享债券C,国寿安保基金,高鑫,混合债券型基金(一级),294351696.23,9.1917808219178
258,000673.OF,000673,融通四季添利债券(LOF)C,融通基金,王超,混合债券型基金(一级),840418955.57,3.3835616438356
259,000674.OF,000674,中海中短债债券A,中海基金,邵强,短期纯债券型基金,108367767.51,9.0931506849315
260,000692.OF,000692,汇添富双利债券C,汇添富基金,吴江宏,混合债券型基金(二级),7249231816.11,9.2904109589041
261,000694.OF,000694,鑫元鸿利A,鑫元基金,赵慧,中长期纯债券型基金,218222637.19,9.2684931506849
262,000715.OF,000715,民生加银高等级信用债债券E,民生加银基金,李文君,短期纯债券型基金,1397209809.96,3.186301369863
263,000720.OF,000720,南方稳利1年持有债券C,南方基金,王景明,中长期纯债券型基金,157906277.66,9.1917808219178
264,000728.OF,000728,工银目标收益一年定开债券C,工银瑞信,李敏,混合债券型基金(一级),1442372051.37,9.1397260273973
265,000736.OF,000736,诺安聚利债券A,诺安基金,郭晓晖,中长期纯债券型基金,1539993897.85,8.8849315068493
266,000737.OF,000737,诺安聚利债券C,诺安基金,郭晓晖,中长期纯债券型基金,1539993897.85,8.8849315068493
267,000744.OF,000744,北信瑞丰稳定收益A,北信瑞丰基金,靳晓龙,混合债券型基金(一级),2045602358.7,9.0986301369863
268,000745.OF,000745,北信瑞丰稳定收益C,北信瑞丰基金,靳晓龙,混合债券型基金(一级),2045602358.7,9.0986301369863
269,000783.OF,000783,博时季季享三个月持有期债券A,博时基金,"于渤洋,黄海峰",短期纯债券型基金,7880055598.19,4.0712328767123
270,000784.OF,000784,博时季季享三个月持有期债券B,博时基金,"黄海峰,于渤洋",短期纯债券型基金,7880055598.19,4.0712328767123
271,000791.OF,000791,银华安颐中短债双月持有期债券C,银华基金,王树丽,短期纯债券型基金,2864511959.84,2.7917808219178
272,000792.OF,000792,招商定期宝六个月期理财债券,招商基金,许强,短期纯债券型基金,109882511.9,6.2931506849315
273,000799.OF,000799,民生加银半年理财,民生加银基金,李文君,短期纯债券型基金,5132169349.13,5.1342465753425
274,000801.OF,000801,中金纯债A,中金基金,石玉,混合债券型基金(一级),681107134.28,8.9095890410959
275,000802.OF,000802,中金纯债C,中金基金,石玉,混合债券型基金(一级),681107134.28,8.9095890410959
276,000808.OF,000808,招商招利1个月期理财债券A,招商基金,曹晋文,短期纯债券型基金,405472906.21,3.5890410958904
277,000809.OF,000809,招商招利1个月期理财债券B,招商基金,曹晋文,短期纯债券型基金,405472906.21,3.5890410958904
278,000810.OF,000810,富国收益增强债券A,富国基金,张明凯,混合债券型基金(二级),2144818019.31,8.9287671232877
279,000812.OF,000812,富国收益增强债券C,富国基金,张明凯,混合债券型基金(二级),2144818019.31,8.9287671232877
280,000814.OF,000814,鑫元合享纯债C,鑫元基金,郭卉,中长期纯债券型基金,382059998.68,8.9643835616438
281,000815.OF,000815,鑫元合享纯债A,鑫元基金,郭卉,中长期纯债券型基金,382059998.68,8.9643835616438
282,000817.OF,000817,中银安心回报,中银基金,周毅,中长期纯债券型基金,3317695085.24,8.9397260273973
283,000833.OF,000833,易方达富华纯债债券C,易方达基金,藏海涛,中长期纯债券型基金,488373996.58,2.7561643835616
284,000839.OF,000839,摩根纯债丰利债券A,摩根资产管理,雷杨娟,中长期纯债券型基金,17151387.1,8.8712328767123
285,000840.OF,000840,摩根纯债丰利债券C,摩根资产管理,雷杨娟,中长期纯债券型基金,17151387.1,8.8712328767123
286,000875.OF,000875,建信稳定得利债券A,建信基金,黎颖芳,混合债券型基金(二级),7272517056.75,8.8328767123288
287,000876.OF,000876,建信稳定得利债券C,建信基金,黎颖芳,混合债券型基金(二级),7272517056.75,8.8328767123288
288,000896.OF,000896,鑫元聚鑫收益增强A,鑫元基金,"刘宇涛,陈浩",混合债券型基金(二级),56205617.81,8.8328767123288
289,000897.OF,000897,鑫元聚鑫收益增强C,鑫元基金,"刘宇涛,陈浩",混合债券型基金(二级),56205617.81,8.8328767123288
290,000898.OF,000898,华富恒稳纯债债券A,华富基金,姚姣姣,中长期纯债券型基金,551326646.01,8.7917808219178
291,000899.OF,000899,华富恒稳纯债债券C,华富基金,姚姣姣,中长期纯债券型基金,551326646.01,8.7917808219178
292,000910.OF,000910,鑫元合丰纯债C,鑫元基金,陈浩,中长期纯债券型基金,2885112627.41,6.7616438356164
293,000911.OF,000911,鑫元合丰纯债A,鑫元基金,陈浩,中长期纯债券型基金,2885112627.41,6.7616438356164
294,000914.OF,000914,中加纯债债券,中加基金,闫沛贤,中长期纯债券型基金,13166119814.16,8.7917808219178
295,000931.OF,000931,国寿安保尊益信用纯债债券,国寿安保基金,"陶尹斌,丁宇佳",混合债券型基金(一级),763153495.63,4.3232876712329
296,000943.OF,000943,工银中高等级信用债债券A,工银瑞信,陈桂都,中长期纯债券型基金,349391865.95,7.8328767123288
297,000944.OF,000944,工银中高等级信用债债券B,工银瑞信,陈桂都,中长期纯债券型基金,349391865.95,7.8328767123288
298,000973.OF,000973,新华增盈回报债券,新华基金,王丹,混合债券型基金(二级),1077023138.57,8.7095890410959
299,000997.OF,000997,南方双元A,南方基金,刘建岩,混合债券型基金(一级),282043888.97,8.641095890411
300,000998.OF,000998,南方双元C,南方基金,刘建岩,混合债券型基金(一级),282043888.97,8.641095890411
301,001001.OF,001001,华夏债券A/B,华夏基金,"吴凡,吴彬",混合债券型基金(一级),1327964988.34,20.950684931507
302,001003.OF,001003,华夏债券C,华夏基金,"吴彬,吴凡",混合债券型基金(一级),1327964988.34,17.504109589041
303,001011.OF,001011,华夏希望债券A,华夏基金,"吴彬,吴凡",混合债券型基金(二级),1677443585.11,15.567123287671
304,001013.OF,001013,华夏希望债券C,华夏基金,"吴彬,吴凡",混合债券型基金(二级),1677443585.11,15.567123287671
305,001019.OF,001019,兴业年年利定开债券,兴业基金,丁进,混合债券型基金(一级),594190592.6,8.6356164383562
306,001021.OF,001021,华夏亚债中国指数A,华夏基金,刘薇,被动指数型债券基金,10375136432.48,12.358904109589
307,001023.OF,001023,华夏亚债中国指数C,华夏基金,刘薇,被动指数型债券基金,10375136432.48,12.358904109589
308,001031.OF,001031,华夏安康债券A,华夏基金,柳万军,混合债券型基金(二级),149132943.81,11.057534246575
309,001033.OF,001033,华夏安康债券C,华夏基金,柳万军,混合债券型基金(二级),149132943.81,11.057534246575
310,001035.OF,001035,中银恒利半年定期开放债券,中银基金,"李建,范锐",混合债券型基金(二级),2426005808.65,8.6712328767123
311,001045.OF,001045,华夏可转债增强债券A,华夏基金,何家琪,可转换债券型基金,2472740882.23,7.0109589041096
312,001046.OF,001046,华夏可转债增强债券I,华夏基金,何家琪,可转换债券型基金,2472740882.23,7.0109589041096
313,001057.OF,001057,华夏理财30天债券A,华夏基金,周飞,短期纯债券型基金,297394718.25,2.7561643835616
314,001058.OF,001058,华夏理财30天债券B,华夏基金,周飞,短期纯债券型基金,297394718.25,2.7561643835616
315,001061.OF,001061,华夏海外收益债券A,华夏基金,"江伟轩,祝灿",QDII债券型基金,508116684.84,10.819178082192
316,001063.OF,001063,华夏海外收益债券C,华夏基金,"江伟轩,祝灿",QDII债券型基金,508116684.84,10.819178082192
317,001065.OF,001065,华夏收益债券(QDII)A(美元现汇),华夏基金,"祝灿,江伟轩",QDII债券型基金,508116684.84,10.819178082192
318,001066.OF,001066,华夏收益债券(QDII)A(美元现钞),华夏基金,"祝灿,江伟轩",QDII债券型基金,508116684.84,10.819178082192
319,001086.OF,001086,华富恒利债券A,华富基金,张惠,混合债券型基金(二级),11505213.44,8.0876712328767
320,001087.OF,001087,华富恒利债券C,华富基金,张惠,混合债券型基金(二级),11505213.44,8.0876712328767
321,001124.OF,001124,融通增强收益债券C,融通基金,"范琨,李冠頔",混合债券型基金(二级),4422912593.43,8.5780821917808
322,001199.OF,001199,创金合信聚利债券A,创金合信基金,"金莉,龚超",混合债券型基金(二级),114941213.6,8.3835616438356
323,001200.OF,001200,创金合信聚利债券C,创金合信基金,"龚超,金莉",混合债券型基金(二级),114941213.6,8.3835616438356
324,001212.OF,001212,华润元大稳健债券A,华润元大基金,"金兴健,程涛涛",中长期纯债券型基金,502818253.35,7.9616438356164
325,001213.OF,001213,华润元大稳健债券C,华润元大基金,"金兴健,程涛涛",中长期纯债券型基金,502818253.35,7.9616438356164
326,001235.OF,001235,中银国有企业债A,中银基金,王晓彦,混合债券型基金(一级),1675981405.85,8.0082191780822
327,001246.OF,001246,兴银长乐定开债,兴银基金,"范泰奇,陶国峰,王深",中长期纯债券型基金,5066131261.24,8.3150684931507
328,001257.OF,001257,兴业收益增强债券A,兴业基金,"周鸣,丁进",混合债券型基金(二级),8263724184.79,8.3452054794521
329,001258.OF,001258,兴业收益增强债券C,兴业基金,"周鸣,丁进",混合债券型基金(二级),8263724184.79,8.3452054794521
330,001296.OF,001296,长城悦享增利债券A,长城基金,魏建,混合债券型基金(二级),6945067236.34,6.4328767123288
331,001299.OF,001299,兴业添利债券,兴业基金,"伍方方,周鸣",中长期纯债券型基金,8029892663.81,8.3123287671233
332,001367.OF,001367,德邦新添利债券A,德邦基金,"丁孙楠,汪晖",混合债券型基金(二级),34516238.18,8.2876712328767
333,001368.OF,001368,兴业稳固收益一年理财债券,兴业基金,"周鸣,王卓然",中长期纯债券型基金,7990020176.37,8.3123287671233
334,001369.OF,001369,兴业稳固收益两年理财债券,兴业基金,唐丁祥,中长期纯债券型基金,7981491649.48,8.3123287671233
335,001497.OF,001497,大成月添利一个月滚动持有中短债债券E,大成基金,曾婷婷,短期纯债券型基金,51055314.68,3.2520547945205
336,001512.OF,001512,易方达中债3-5年期国债,易方达基金,杨真,被动指数型债券基金,82931166.54,8.2356164383562
337,001516.OF,001516,大成安汇金融债E,大成基金,张俊杰,中长期纯债券型基金,64381413.21,3.1561643835616
338,001545.OF,001545,博时裕嘉3个月定开债发起式,博时基金,郭思洁,中长期纯债券型基金,1372465295.78,7.8328767123288
339,001546.OF,001546,博时裕盈3个月定开债,博时基金,程卓,中长期纯债券型基金,1468355801.84,8.0082191780822
340,001578.OF,001578,博时裕瑞纯债债券,博时基金,"李汉楠,李秋实,何平",中长期纯债券型基金,7269610108.88,8.2575342465753
341,001619.OF,001619,兴银汇福定开债,兴银基金,范泰奇,中长期纯债券型基金,2969177669.35,4.5123287671233
342,001661.OF,001661,博时信用债纯债债券C,博时基金,张李陵,中长期纯债券型基金,13300825827.03,8.0301369863014
343,001693.OF,001693,招商招利1个月期理财债券C,招商基金,曹晋文,短期纯债券型基金,405472906.21,3.5890410958904
344,001750.OF,001750,景顺景瑞收益债券A,景顺长城基金,徐栋,混合债券型基金(一级),111599595.31,8.1013698630137
345,001751.OF,001751,华商信用增强债券A,华商基金,厉骞,混合债券型基金(二级),12011262848.47,8.0657534246575
346,001752.OF,001752,华商信用增强债券C,华商基金,厉骞,混合债券型基金(二级),12011262848.47,8.0657534246575
347,001776.OF,001776,中欧兴利债券A,中欧基金,"洪慧梅,苏佳",中长期纯债券型基金,4015422860.77,8.0191780821918
348,001783.OF,001783,兴银合盈债券A,兴银基金,王深,中长期纯债券型基金,5122760451.17,4.5917808219178
349,001784.OF,001784,兴银合盈债券C,兴银基金,王深,中长期纯债券型基金,5122760451.17,4.5917808219178
350,001785.OF,001785,民生加银岁岁增利债券D,民生加银基金,李文君,中长期纯债券型基金,1636359548.12,8.1260273972603
351,001794.OF,001794,兴银朝阳,兴银基金,李文程,中长期纯债券型基金,516143165.7,7.8191780821918
352,001819.OF,001819,兴全稳益定开债券,兴证全球基金,"翟秀华,王健,石广翔",中长期纯债券型基金,10036174063.85,8.0602739726027
353,001862.OF,001862,东方红收益增强债券A,东证资管,"胡伟,纪文静",混合债券型基金(二级),662103378.0,7.9150684931507
354,001863.OF,001863,东方红收益增强债券C,东证资管,"纪文静,胡伟",混合债券型基金(二级),662103378.0,7.9150684931507
355,001868.OF,001868,招商产业债券C,招商基金,马龙,混合债券型基金(一级),19211674868.97,8.0109589041096
356,001876.OF,001876,鹏华全球高收益债(QDII)美元现汇,鹏华基金,郝黎黎,QDII债券型基金,225361019.77,8.0383561643836
357,001889.OF,001889,中欧增强回报债券(LOF)E,中欧基金,周锦程,混合债券型基金(一级),1033081219.06,7.9835616438356
358,001906.OF,001906,东方红6个月定开纯债,东证资管,高德勇,中长期纯债券型基金,3108235418.96,7.9342465753425
359,001911.OF,001911,博时裕恒纯债债券,博时基金,郭思洁,中长期纯债券型基金,2562295452.58,7.9424657534247
360,001918.OF,001918,圆信永丰兴利A,圆信永丰基金,康芳华,中长期纯债券型基金,217580097.01,7.6054794520548
361,001919.OF,001919,圆信永丰兴利C,圆信永丰基金,康芳华,中长期纯债券型基金,217580097.01,7.6054794520548
362,001941.OF,001941,融通通源短融债券B,融通基金,时慕蓉,短期纯债券型基金,115774808.0,7.8767123287671
363,001945.OF,001945,东方红信用债债券A,东证资管,纪文静,混合债券型基金(一级),1856829914.52,7.8767123287671
364,001946.OF,001946,东方红信用债债券C,东证资管,纪文静,混合债券型基金(一级),1856829914.52,7.8767123287671
365,001950.OF,001950,鹏华丰泰定期开放债券B,鹏华基金,戴钢,混合债券型基金(一级),560528063.02,7.9287671232877
366,001957.OF,001957,嘉合磐通A,嘉合基金,"叶平,于启明",混合债券型基金(二级),564425564.2,5.6849315068493
367,001958.OF,001958,嘉合磐通C,嘉合基金,"叶平,于启明",混合债券型基金(二级),564425564.2,5.6849315068493
368,001960.OF,001960,兴银瑞益,兴银基金,"洪木妹,王深,陶国峰",中长期纯债券型基金,3643749294.07,7.9041095890411
369,001961.OF,001961,博时裕荣纯债债券,博时基金,郭思洁,中长期纯债券型基金,3720554273.46,7.9041095890411
370,001964.OF,001964,诺安泰鑫一年定期开放债券C,诺安基金,岳帅,中长期纯债券型基金,102419783.27,7.8575342465753
371,001968.OF,001968,光大尊盈半年A,光大保德信基金,沈荣,混合债券型基金(一级),519802306.7,6.358904109589
372,001969.OF,001969,光大尊盈半年C,光大保德信基金,沈荣,混合债券型基金(一级),519802306.7,6.358904109589
373,001976.OF,001976,海富通一年定开债券C,海富通基金,夏妍妍,混合债券型基金(一级),379193464.39,7.8575342465753
374,001988.OF,001988,南方纯元A,南方基金,王景明,中长期纯债券型基金,820103252.35,6.358904109589
375,001989.OF,001989,南方纯元C,南方基金,王景明,中长期纯债券型基金,820103252.35,6.358904109589
376,001993.OF,001993,博时裕泰纯债债券,博时基金,李汉楠,中长期纯债券型基金,1412343691.11,7.8684931506849
377,001994.OF,001994,华安年年红债券C,华安基金,石雨欣,混合债券型基金(一级),126385141.21,7.7972602739726
378,002065.OF,002065,景顺长城景盛双息收益债券A,景顺长城基金,"邹立虎,李曾卓卓,李怡文",混合债券型基金(二级),11998380778.55,7.6821917808219
379,002066.OF,002066,景顺长城景盛双息收益债券C,景顺长城基金,"李怡文,李曾卓卓,邹立虎",混合债券型基金(二级),11998380778.55,7.6821917808219
380,002073.OF,002073,圆信永丰兴融A,圆信永丰基金,"康芳华,林铮",中长期纯债券型基金,1746464516.18,7.7808219178082
381,002074.OF,002074,圆信永丰兴融C,圆信永丰基金,"林铮,康芳华",中长期纯债券型基金,1746464516.18,7.7808219178082
382,002086.OF,002086,大成景安短融债券E,大成基金,"曾婷婷,张俊杰",短期纯债券型基金,647167445.17,7.7205479452055
383,002101.OF,002101,创金合信转债精选债券A,创金合信基金,"王一兵,黄浩东",可转换债券型基金,52994487.55,7.8684931506849
384,002102.OF,002102,创金合信转债精选债券C,创金合信基金,"黄浩东,王一兵",可转换债券型基金,52994487.55,7.8684931506849
385,002109.OF,002109,博时裕丰3个月定开债发起式,博时基金,"王帅,程卓",中长期纯债券型基金,1961472310.04,7.8520547945205
386,002128.OF,002128,广发鑫惠纯债定期开放债券,广发基金,洪志,混合债券型基金(一级),1055520893.57,6.8739726027397
387,002138.OF,002138,泓德裕泰债券A,泓德基金,赵端端,混合债券型基金(二级),988994943.7,7.7917808219178
388,002139.OF,002139,泓德裕泰债券C,泓德基金,赵端端,混合债券型基金(二级),988994943.7,7.7917808219178
389,002140.OF,002140,博时裕诚纯债债券,博时基金,郭思洁,中长期纯债券型基金,1117484505.5,6.9178082191781
390,002143.OF,002143,博时裕坤3个月定开债发起式,博时基金,郭思洁,中长期纯债券型基金,302169449.09,7.8383561643836
391,002169.OF,002169,永赢稳益债券,永赢基金,陶毅,中长期纯债券型基金,7121814681.85,7.8328767123288
392,002175.OF,002175,博时裕乾纯债A,博时基金,何平,中长期纯债券型基金,2048345617.05,7.7123287671233
393,002188.OF,002188,鹏华丰华债券,鹏华基金,刘涛,中长期纯债券型基金,523961787.62,7.8328767123288
394,002198.OF,002198,博时裕达纯债,博时基金,王帅,中长期纯债券型基金,1300537723.42,7.8301369863014
395,002206.OF,002206,博时裕康纯债,博时基金,王帅,中长期纯债券型基金,515916191.99,7.8301369863014
396,002218.OF,002218,南方弘利定开债券发起,南方基金,陶铄,混合债券型基金(一级),3024855080.94,7.8082191780822
397,002245.OF,002245,泰康稳健增利债券A,泰康基金,蒋利娟,混合债券型基金(二级),5102155696.08,7.6602739726027
398,002246.OF,002246,泰康稳健增利债券C,泰康基金,蒋利娟,混合债券型基金(二级),5102155696.08,7.6602739726027
399,002254.OF,002254,长信金葵纯债一年定开债券A,长信基金,"朱黎明,冯彬",混合债券型基金(一级),510258877.93,7.6794520547945
400,002255.OF,002255,长信金葵纯债一年定开债券C,长信基金,"冯彬,朱黎明",混合债券型基金(一级),510258877.93,7.6794520547945
